,Line,Slope,SmallNoice,LargeNoice,Seasonal,SeasonalExpanding,SeasonalIncreasing,SeasonalRandom,RandomA,RandomB,RandomC
1992-11-30,1.0,1,1.172107470139276,8.130814666858107,0.25,0.46401066723335327,8.637109383253735,2.8797186798710164,-0.2652667002581699,-0.45665808115450646,0.4680672526429189
1992-12-31,1.0,2,2.021539611629205,-3.344671558030716,1.0,1.7977341268107732,31.793247249337163,0.25,0.7676847664762523,-0.5244711640521615,0.5831990039974961
1993-01-31,1.0,3,3.71627814745752,10.965060160178545,2.0,5.67283410238244,63.43908616552499,17.068065595855604,1.2470425624314707,-0.9032478557231138,0.2871925156992785
1993-02-28,1.0,4,4.544567102774863,-2.1087472009544355,0.25,0.9113083822850441,12.300636368722365,4.525274345108052,1.2481687185209074,-2.6881790282312554,1.428316641592095
1993-03-31,1.0,5,5.060596976187789,1.480532028953533,1.0,4.082974708810054,35.686083049349094,7.6485579634291,0.18347450577217006,-2.4366987104303446,0.8140089501511534
1993-04-30,1.0,6,6.754802192412741,14.702941123713106,2.0,11.192108213267666,66.84056337236633,29.96601469361596,0.12881207748707527,-2.790397663727936,1.3549098753019213
1993-05-31,1.0,7,6.598242072506488,4.059977814824606,0.25,1.5228311647576114,14.718372773911751,6.3310433216397985,0.6030370072286451,-2.236579242045243,2.523760771851853
1993-06-30,1.0,8,8.464803677608453,14.599117661088124,1.0,7.565551109541009,38.19178325067473,6.1900361419965435,0.8884523400996567,-1.6464719367869933,2.27103481924283
1993-07-31,1.0,9,9.493417947650006,12.475748019716715,2.0,18.77955149928494,68.00644762815078,0.25,1.3821357106110608,-0.8896673544651535,1.1534944682051549
1993-08-31,1.0,10,9.654407192588685,14.066407425766027,0.25,2.6598766557982363,17.80951733810082,13.850393852384148,2.945569216766428,-0.8322729997488244,1.0750035873159642
1993-09-30,1.0,11,10.1057929115317,17.87630183163376,1.0,11.890037075671298,40.49550456387779,15.884185614247587,2.9095217047962345,-1.5188541693726676,1.654599295325594
1993-10-31,1.0,12,12.39313928449084,16.109706521673857,2.0,23.586624163188446,71.05675173524271,18.45010654049159,2.9846944075574577,-1.7320310175812752,1.0975588820811824
1993-11-30,1.0,13,13.151327805383495,22.375086561547047,0.25,3.412618410317759,20.172148114516276,12.094400716965158,3.2554306158521613,-0.37782459880220576,0.3377201074019678
1993-12-31,1.0,14,14.963677520132169,5.849601083682192,1.0,14.514560648196676,43.64010009721052,0.25,3.8577007336187896,-0.41766122449752574,-2.4445203118709014
1994-01-31,1.0,15,14.467919918179168,19.985006275807095,2.0,30.328563917691756,74.61655166302688,48.702629329826706,5.050850785666302,-1.3622979775426134,-2.5060996933518074
1994-02-28,1.0,16,15.696137618806524,21.080134718779874,0.25,4.000865648460045,23.17288643673445,14.384149915144747,6.453992236694017,-0.22970731441008163,-0.3979739221964751
1994-03-31,1.0,17,17.566276918573454,8.310525151620915,1.0,16.08749208302179,46.37716096078283,38.136257485496344,6.465205176350414,0.443647360399377,-1.0785206820677158
1994-04-30,1.0,18,17.924245071579985,12.25219566782117,2.0,35.94231528568094,78.51115042219479,3.023825644205578,5.626368589952158,0.4546341720017227,-2.176303483292645
1994-05-31,1.0,19,19.23376877682304,26.132687865463073,0.25,4.924947309731512,25.96200926041794,18.56658389343152,5.399141774042849,0.8889005526338658,-1.3803291485444151
1994-06-30,1.0,20,20.51155206946016,21.63280578527197,1.0,19.304725854662916,50.336434350556715,13.951910587735167,5.604479193360656,-0.32767826765560915,-2.4322583933241253
1994-07-31,1.0,21,21.63268909525674,16.06083953294406,2.0,41.63779241925077,81.0264702806448,45.30046822827194,5.965354149386818,-0.4632911222649054,-1.865999704999545
1994-08-31,1.0,22,21.319527749474616,23.994510243858574,0.25,5.27407095607969,28.845865835901066,24.659354961606063,6.109800965858937,1.0289588080775103,-3.4052142613651624
1994-09-30,1.0,23,22.59389562029716,19.46338189955518,1.0,23.059046578780688,53.728977498513245,37.03813341151332,7.336885990353302,0.9581345390813716,-3.015155812020841
1994-10-31,1.0,24,23.28894529672092,22.54132011813409,2.0,49.720398786052264,83.83349675878566,9.135638587564657,6.640561467512476,-0.8304894980287305,-2.6199107214825545
1994-11-30,1.0,25,25.423358897845933,29.0829382010376,0.25,6.279690468544682,32.643946284753476,21.174350751157615,5.693744111838395,-1.3515576271354472,-2.83877895399509
1994-12-31,1.0,26,25.075882198422295,25.236987639109678,1.0,25.242937560413765,55.727976748602174,21.859745243237402,6.0298894235177105,-0.6549230885035732,-3.1037461254157974
1995-01-31,1.0,27,27.883136731080228,21.417628911119742,2.0,54.38245734643856,87.1447874442345,39.546246090929934,5.350632190887867,-1.0035232621259893,-3.855998657719844
1995-02-28,1.0,28,27.388065325089578,27.02741934267015,0.25,7.218916309956127,34.51822183000442,25.395193148313957,5.656405019278731,-0.7881460530959398,-2.990233807017076
1995-03-31,1.0,29,29.56779920506492,22.22589048617285,1.0,29.921755401501965,59.64339447488261,38.56175442653444,6.750428934049644,-2.313663717595897,-3.369764803604146
